timesteps,episode_idx,ep_reward,ep_len,event,final_dist,min_dist,sum_r_progress,sum_r_close,sum_r_zem,approx_kl,clip_fraction,entropy_loss,explained_variance,value_loss,policy_gradient_loss,max_action_mag,max_accel_norm,time_to_hit
64726,49,-6711.829733,1101,running,195182.078125,inf,0.0,0.0,0.0,0.001711047487333417,0.001171875,-2.8295956939458846,0.021441102027893066,328455.9443481445,-0.0021837439402588644,0.0,0.0,nan
66043,50,-6835.639138,1317,running,82837.171875,inf,0.0,0.0,0.0,0.0002919877879321575,0.0,-2.8303123712539673,0.03425532579421997,294949.35649414064,-0.000338649409241043,0.0,0.0,nan
66854,51,-6841.10776,811,running,130363.734375,inf,0.0,0.0,0.0,0.0002919877879321575,0.0,-2.8303123712539673,0.03425532579421997,294949.35649414064,-0.000338649409241043,0.0,0.0,nan
67724,52,-6649.442355,870,running,183656.421875,inf,0.0,0.0,0.0,0.0017274576239287853,0.00166015625,-2.8303644120693208,0.023872852325439453,359376.3611328125,-0.0027297096385154873,0.0,0.0,nan
68952,53,-6872.233908,1228,running,67462.109375,inf,0.0,0.0,0.0,0.0017274576239287853,0.00166015625,-2.8303644120693208,0.023872852325439453,359376.3611328125,-0.0027297096385154873,0.0,0.0,nan
69596,54,-6369.143109,644,running,172666.25,inf,0.0,0.0,0.0,0.0017274576239287853,0.00166015625,-2.8303644120693208,0.023872852325439453,359376.3611328125,-0.0027297096385154873,0.0,0.0,nan
70665,55,-5751.066423,1069,running,126547.7734375,inf,0.0,0.0,0.0,0.0015291327144950628,0.000244140625,-2.830620875954628,0.025948286056518555,496689.430859375,-0.0021514458843739704,0.0,0.0,nan
71568,56,-5823.036302,903,running,158275.3125,inf,0.0,0.0,0.0,0.0015291327144950628,0.000244140625,-2.830620875954628,0.025948286056518555,496689.430859375,-0.0021514458843739704,0.0,0.0,nan
72785,57,-6721.506863,1217,running,106733.7421875,inf,0.0,0.0,0.0,0.0007170748431235552,0.0,-2.8293469309806825,0.04547828435897827,306035.2687988281,-0.0009898320597130806,0.0,0.0,nan
73612,58,-6301.629669,827,running,118185.265625,inf,0.0,0.0,0.0,0.0007170748431235552,0.0,-2.8293469309806825,0.04547828435897827,306035.2687988281,-0.0009898320597130806,0.0,0.0,nan
74478,59,-5927.33562,866,running,182190.34375,inf,0.0,0.0,0.0,0.0011396523332223296,0.000341796875,-2.8275371730327605,0.029579758644104004,346328.2438964844,-0.0008634940313640982,0.0,0.0,nan
75584,60,-6560.533623,1106,running,106567.9375,inf,0.0,0.0,0.0,0.0011396523332223296,0.000341796875,-2.8275371730327605,0.029579758644104004,346328.2438964844,-0.0008634940313640982,0.0,0.0,nan
76682,61,-6393.47175,1098,running,159914.5,inf,0.0,0.0,0.0,0.0009468002244830132,0.0001953125,-2.81952261030674,0.03807193040847778,349485.4888671875,-0.001696308136160951,0.0,0.0,nan
77731,62,-6335.559111,1049,running,149955.53125,inf,0.0,0.0,0.0,0.0009468002244830132,0.0001953125,-2.81952261030674,0.03807193040847778,349485.4888671875,-0.001696308136160951,0.0,0.0,nan
78644,63,-5276.969187,913,running,125627.09375,inf,0.0,0.0,0.0,0.00016449976828880608,0.0,-2.813136410713196,0.02891862392425537,335349.6087402344,-0.00042719429620774463,0.0,0.0,nan
79584,64,-6298.72158,940,running,172093.578125,inf,0.0,0.0,0.0,0.00016449976828880608,0.0,-2.813136410713196,0.02891862392425537,335349.6087402344,-0.00042719429620774463,0.0,0.0,nan
80542,65,-5856.075864,958,running,182246.171875,inf,0.0,0.0,0.0,0.0006936728022992611,9.765625e-05,-2.8167542994022368,0.053087055683135986,305087.13657226565,-0.0005363344942452386,0.0,0.0,nan
81423,66,-5565.404316,881,running,112600.9921875,inf,0.0,0.0,0.0,0.0006936728022992611,9.765625e-05,-2.8167542994022368,0.053087055683135986,305087.13657226565,-0.0005363344942452386,0.0,0.0,nan
82172,67,-5831.237581,749,running,65868.96875,inf,0.0,0.0,0.0,0.0015182208735495806,0.00087890625,-2.8179421335458756,0.04917401075363159,324738.82426757814,-0.001084732374874875,0.0,0.0,nan
