episode,event,min_dist,time_to_hit,dca_pos_ratio,vclose_pos_ratio
0,hit,229.64292907714844,33.90000000000021,0.9970501474926253,1.0
1,hit,276.73486328125,16.09999999999996,0.9751552795031055,1.0
2,hit,235.0460205078125,48.300000000000416,0.9979296066252588,1.0
3,hit,216.40740966796875,19.900000000000013,0.9949748743718593,1.0
4,hit,283.80218505859375,17.199999999999974,0.9941860465116279,1.0
5,hit,289.7962951660156,28.10000000000013,0.99644128113879,1.0
6,hit,296.8210144042969,25.600000000000094,0.99609375,1.0
7,hit,271.4140319824219,27.000000000000114,0.9185185185185185,1.0
8,hit,210.44505310058594,11.299999999999976,0.8849557522123894,1.0
9,hit,290.76214599609375,36.40000000000025,0.9972527472527473,1.0
10,hit,203.33480834960938,28.400000000000134,0.9964788732394366,1.0
11,hit,212.4230499267578,50.90000000000045,0.9980353634577603,1.0
12,hit,236.6863250732422,23.000000000000057,0.9956521739130435,1.0
13,hit,247.6137237548828,17.299999999999976,0.9942196531791907,1.0
14,hit,251.39361572265625,37.000000000000256,0.9972972972972973,1.0
15,hit,214.96986389160156,28.600000000000136,0.9965034965034965,1.0
16,hit,287.41839599609375,34.30000000000022,0.9970845481049563,1.0
17,hit,204.67555236816406,23.800000000000068,0.9957983193277311,1.0
18,hit,253.0768585205078,37.50000000000026,0.9973333333333333,1.0
19,hit,217.41796875,14.399999999999965,0.9930555555555556,1.0
20,hit,193.17649841308594,24.500000000000078,0.9959183673469387,1.0
21,hit,224.5006103515625,22.100000000000044,0.995475113122172,1.0
22,hit,247.16819763183594,19.300000000000004,0.9948186528497409,1.0
23,hit,237.2572021484375,34.200000000000216,0.9736842105263158,1.0
24,hit,269.0792236328125,37.40000000000026,0.9973262032085561,1.0
25,hit,208.9648895263672,16.79999999999997,0.9940476190476191,1.0
26,hit,201.95013427734375,29.100000000000144,0.9965635738831615,1.0
27,hit,233.9539337158203,28.600000000000136,0.9965034965034965,1.0
28,hit,242.94476318359375,34.50000000000022,0.9971014492753624,1.0
29,hit,278.3410949707031,40.500000000000306,0.9975308641975309,1.0
30,hit,216.72401428222656,18.19999999999999,0.9945054945054945,1.0
31,hit,278.2905578613281,41.50000000000032,0.9253012048192771,1.0
32,hit,268.9136657714844,20.30000000000002,0.9950738916256158,1.0
33,hit,201.9647979736328,30.500000000000163,0.921311475409836,1.0
34,hit,266.24456787109375,18.699999999999996,0.9946524064171123,1.0
35,hit,237.48695373535156,15.99999999999996,0.99375,1.0
36,hit,286.669921875,44.20000000000036,0.997737556561086,1.0
37,hit,256.2966613769531,41.100000000000314,0.9975669099756691,1.0
38,hit,270.0440368652344,14.999999999999963,0.9933333333333333,1.0
39,hit,200.868408203125,36.200000000000244,0.9972375690607734,1.0
40,hit,199.59861755371094,31.70000000000018,0.9968454258675079,1.0
41,hit,217.88902282714844,10.499999999999979,0.9904761904761905,1.0
42,hit,252.4546661376953,27.000000000000114,0.9962962962962963,1.0
43,hit,283.2307434082031,22.900000000000055,0.9956331877729258,1.0
44,hit,255.78887939453125,36.40000000000025,0.9972527472527473,1.0
45,hit,255.02987670898438,45.300000000000374,0.977924944812362,1.0
46,hit,258.0905456542969,51.700000000000465,0.9690522243713733,1.0
47,hit,228.15896606445312,20.50000000000002,0.9951219512195122,1.0
48,hit,209.1414794921875,15.499999999999961,0.9935483870967742,1.0
49,hit,294.0950012207031,23.500000000000064,0.9957446808510638,1.0
