episode,event,min_dist,time_to_hit,dca_pos_ratio,vclose_pos_ratio
0,hit,283.9114685058594,34.00000000000021,0.9970588235294118,1.0
1,hit,235.6394500732422,16.19999999999996,0.9938271604938271,1.0
2,hit,243.66395568847656,48.50000000000042,0.9979381443298969,1.0
3,hit,219.21334838867188,19.900000000000013,0.9949748743718593,1.0
4,hit,295.2815856933594,17.199999999999974,0.9941860465116279,1.0
5,hit,221.37416076660156,28.300000000000132,0.9964664310954063,1.0
6,hit,213.89964294433594,25.800000000000097,0.9961240310077519,1.0
7,hit,280.0451354980469,27.000000000000114,0.8925925925925926,1.0
8,hit,210.9732208251953,11.299999999999976,0.9203539823008849,1.0
9,hit,252.67727661132812,36.60000000000025,0.9972677595628415,1.0
10,hit,256.76422119140625,28.500000000000135,0.9964912280701754,1.0
11,hit,235.3148193359375,51.100000000000456,0.9980430528375733,1.0
12,hit,273.2196960449219,23.10000000000006,0.9956709956709957,1.0
13,hit,297.83258056640625,17.399999999999977,0.9942528735632183,1.0
14,hit,221.77157592773438,37.20000000000026,0.9973118279569892,1.0
15,hit,260.9140319824219,28.700000000000138,0.9965156794425087,1.0
16,hit,257.054931640625,34.50000000000022,0.9971014492753624,1.0
17,hit,224.97396850585938,23.800000000000068,0.9957983193277311,1.0
18,hit,246.3317108154297,37.700000000000266,0.9973474801061007,1.0
19,hit,229.69480895996094,14.399999999999965,0.9930555555555556,1.0
20,hit,229.79513549804688,24.60000000000008,0.9959349593495935,1.0
21,hit,226.7468719482422,22.200000000000045,0.9954954954954955,1.0
22,hit,252.54571533203125,19.400000000000006,0.9948453608247423,1.0
23,hit,188.93405151367188,34.40000000000022,0.997093023255814,1.0
24,hit,233.36026000976562,37.600000000000264,0.9973404255319149,1.0
25,hit,228.5528106689453,16.79999999999997,0.9940476190476191,1.0
26,hit,199.82528686523438,29.200000000000145,0.9965753424657534,1.0
27,hit,274.23907470703125,28.700000000000138,0.9965156794425087,1.0
28,hit,221.42823791503906,34.70000000000022,0.9971181556195965,1.0
29,hit,259.4267883300781,40.70000000000031,0.9975429975429976,1.0
30,hit,220.72564697265625,18.19999999999999,0.9945054945054945,1.0
31,hit,255.27984619140625,41.70000000000032,0.947242206235012,1.0
32,hit,288.68804931640625,20.30000000000002,0.9950738916256158,1.0
33,hit,206.03585815429688,30.600000000000165,0.9411764705882353,1.0
34,hit,263.11700439453125,18.799999999999997,0.9946808510638298,1.0
35,hit,224.94288635253906,16.09999999999996,0.9937888198757764,1.0
36,hit,197.2433624267578,44.50000000000036,0.9977528089887641,1.0
37,hit,241.08253479003906,41.30000000000032,0.9975786924939467,1.0
38,hit,212.09521484375,15.099999999999962,0.9933774834437086,1.0
39,hit,289.32818603515625,36.300000000000246,0.9972451790633609,1.0
40,hit,245.34803771972656,31.800000000000182,0.9968553459119497,1.0
41,hit,230.21551513671875,10.499999999999979,0.9904761904761905,1.0
42,hit,295.21807861328125,27.100000000000115,0.996309963099631,1.0
43,hit,289.43048095703125,23.000000000000057,0.9956521739130435,1.0
44,hit,219.3610382080078,36.60000000000025,0.9972677595628415,1.0
45,hit,247.2763214111328,45.50000000000038,0.9978021978021978,1.0
46,hit,267.96343994140625,51.90000000000047,0.9421965317919075,1.0
47,hit,255.73597717285156,20.50000000000002,0.9951219512195122,1.0
48,hit,224.60658264160156,15.499999999999961,0.9935483870967742,1.0
49,hit,286.7081298828125,23.600000000000065,0.9957627118644068,1.0
