episode,t,dist,delta_dist,d_ca,delta_dca,omega_mag,v_close,alpha,a_pn_mag,a_acq_mag,a_ideal_mag,w_alpha,w_omega,w_final,mag_exec
0,0.1,37368.15234375,0.0,27312.596473796446,0.0,0.014875732654734254,1062.721424709054,0.48586334469101944,47.601985084150876,192.1308359809849,61.49141210970321,0.12798714911443282,0.7851761437459124,0.10736612942163577,0.16629165410995483
0,0.2,37261.6875,106.46484375,27184.19137996726,128.40509382918754,0.014799335559268188,1064.2693956931728,0.48193352669287354,47.426279401289285,192.46039524010456,60.66645096733211,0.12134803171858247,0.7871240764395799,0.10197397597533317,0.16390001773834229
0,0.30000000000000004,37155.0703125,106.6171875,27056.210171349634,127.98120861762436,0.01472406824742695,1065.7719889202679,0.4780597408453139,47.25143973696726,192.7938060706582,59.86041342016365,0.11494087016944753,0.7890372692377866,0.09675469028409876,0.16156715154647827
0,0.4,37048.3046875,106.765625,26928.636970638603,127.57320071103095,0.014649904757226278,1067.2307518843918,0.47424057547219356,47.077498503172684,193.1310681450438,59.07311034724759,0.10876048467932703,0.7909165800321059,0.09170547410873743,0.15929251909255981
0,0.5,36941.40234375,106.90234375,26801.460012225045,127.17695841355817,0.014576816319694116,1068.6471548965012,0.4704745768717344,46.90448660726672,193.47221377182947,58.304341007704124,0.10280165921601049,0.7927628639771206,0.08682341814026594,0.15707552433013916
0,0.6,36834.359375,107.04296875,26674.6661768894,126.79383533564396,0.014504774172215303,1070.022627070858,0.4667602890365149,46.73241986246876,193.81724104634048,57.55388425169162,0.09705922229440644,0.7945770380895263,0.0821055776010734,0.1549154818058014
0,0.7,36727.18359375,107.17578125,26548.240900053657,126.42527683574372,0.01443375015624619,1071.3585573245105,0.4630962595650069,46.56130969446878,194.1661551763912,56.82151333916442,0.09152806794568352,0.7963600107233781,0.07754898686445684,0.1528117060661316
0,0.7999999999999999,36619.8828125,107.30078125,26422.17528890891,126.06561114474607,0.01436371752390788,1072.656242995795,0.4594810545401963,46.39116523253377,194.51897229883966,56.10700151998602,0.086203187638703,0.798112666882264,0.07315068889473385,0.15076351165771484
0,0.8999999999999999,36512.453125,107.4296875,26296.45341542594,125.72187348296939,0.014294644978262487,1073.9170707207736,0.45591336994116044,46.22199382394242,194.87568736497892,55.410138976810224,0.08107983498362997,0.7998358486609034,0.06890787771347076,0.14877021312713623
0,0.9999999999999999,36404.90234375,107.55078125,26171.063907505435,125.38950792050673,0.014226507473030574,1075.1423297753513,0.4523916879304877,46.05378978614595,195.2363285583525,54.73067232401885,0.07615303662497132,0.8015305017975894,0.06481749540081043,0.14683115482330322
